branch;line;nd
#if ( (PY_VERSION_HEX < 0x02070000) || ((PY_VERSION_HEX >= 0x03000000) && (PY_VERSION_HEX < 0x03010000)) );3;1
#ifndef UCHAR_MAX;7;1
#if UCHAR_MAX != 255;10;1
#if defined(__sgi) && defined(WITH_THREAD) && !defined(_SGI_MP_SOURCE);13;1
#ifndef NULL;17;1
#ifdef HAVE_ERRNO_H;21;1
#ifdef HAVE_UNISTD_H;25;1
#ifdef HAVE_STDDEF_H;28;1
#if defined(Py_DEBUG) && defined(WITH_PYMALLOC) && !defined(PYMALLOC_DEBUG);35;1
#if defined(PYMALLOC_DEBUG) && !defined(WITH_PYMALLOC);38;1
#ifdef __cplusplus;3;1
#ifdef PY_SSIZE_T_CLEAN;6;1
#ifndef Py_LIMITED_API;48;1
#ifndef Py_LIMITED_API;66;1
#ifndef Py_LIMITED_API;156;1
#ifndef Py_LIMITED_API;187;1
#ifdef __cplusplus;197;1
#ifndef Py_ACCU_H;2;2
#ifdef Py_DEBUG;20;1
#else;22;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;17;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;20;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;9;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;14;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;7;1
#ifndef Py_LIMITED_API;26;1
#ifdef __cplusplus;31;1
#ifndef Py_BYTES_CTYPE_H;2;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;7;1
#ifndef Py_LIMITED_API;30;1
#ifndef Py_LIMITED_API;36;1
#ifndef Py_LIMITED_API;40;1
#ifndef Py_LIMITED_API;48;1
#ifdef __cplusplus;67;1
#ifndef Py_CELLOBJECT_H;2;2
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;14;1
#ifndef Py_LIMITED_API;23;1
#ifdef USE_STACKCHECK;34;1
#else;36;1
#ifdef WITH_THREAD;49;2
#else;66;1
#ifndef Py_LIMITED_API;72;1
#ifdef __cplusplus;76;1
#ifndef Py_CLASSOBJECT_H;2;2
#ifndef Py_CODE_H;2;2
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;9;1
#ifndef Py_LIMITED_API;27;1
#ifdef __cplusplus;83;1
#ifndef Py_LIMITED_API;3;2
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifndef Py_LIMITED_API;26;1
#ifndef Py_LIMITED_API;35;1
#ifndef Py_LIMITED_API;41;1
#ifndef Py_LIMITED_API;44;1
#ifdef __cplusplus;52;1
#ifndef DATETIME_H;2;2
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;15;1
#ifndef Py_LIMITED_API;71;1
#ifdef __cplusplus;79;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifndef Py_LIMITED_API;33;1
#ifndef Py_LIMITED_API;42;1
#ifndef Py_LIMITED_API;54;1
#ifndef Py_LIMITED_API;75;1
#ifdef __cplusplus;81;1
#ifndef PY_NO_SHORT_FLOAT_REPR;2;2
#ifndef DYNAMIC_ANNOTATIONS_ENABLED;3;1
#if DYNAMIC_ANNOTATIONS_ENABLED != 0;6;1
#else;41;1
#ifdef __cplusplus;83;1
#ifdef __cplusplus;152;1
#if DYNAMIC_ANNOTATIONS_ENABLED != 0 && defined(__cplusplus);155;1
#else;164;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;8;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;24;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;14;1
#ifdef __cplusplus;17;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;14;1
#ifndef Py_LIMITED_API;19;2
#ifdef HAVE_SELECT;28;1
#else;30;1
#ifdef __cplusplus;33;1
#ifdef __cplusplus;3;1
#if defined(HAVE_STAT) && !defined(MS_WINDOWS);13;1
#ifdef HAVE_STAT;18;1
#ifndef Py_LIMITED_API;23;1
#ifdef HAVE_READLINK;37;1
